Lon,Lat,Depth_ft,Variance
-117.00680815102041,32.56672966714286,86.22713660450519,907.5600108147718
-117.00352835510203,32.56672966714286,86.94260685792965,932.5246009444078
-117.00024855918367,32.56672966714286,87.58243185397276,957.5805280954266
-116.9969687632653,32.56672966714286,88.15222023537964,982.6920259939577
-116.99368896734693,32.56672966714286,88.65708373822164,1007.826367295587
-116.99040917142857,32.56672966714286,89.10167254478759,1032.9537004839822
-116.9871293755102,32.56672966714286,89.49021266420662,1058.0468602422789
-116.98384957959183,32.56672966714286,89.82654326814101,1083.0811655874202
-116.98056978367346,32.56672966714286,90.11415266586043,1108.0342160359191
-116.9772899877551,32.56672966714286,90.35621214083346,1132.8856928296418
-116.97401019183673,32.56672966714286,90.55560724350569,1157.617169765215
-116.97073039591837,32.56672966714286,90.714966385368,1182.211936309106
